AKAN,ENGLISH,Act,Scene,Campbell Stage,Justification,Boon,Dilemma,Campbell Stages,Justifications,Boons,Dilemmas
"Osee, “Osee me nsore mmedi wo.”",“He said I must rise up and make love to you.”,Act III: The Marriage,Scene 1: Aso's liberation,18. Master of Two Worlds (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Aso see, “Wo mmoa.”","Aso said, “You don’t lie.” (i.e. “Yes, I’ve heard.”)",Act III: The Marriage,Scene 1: Aso's liberation,18. Master of Two Worlds (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Na waye ama no, na wasan abeda.","He did it for her, then lay down again.",Act III: The Marriage,Scene 1: Aso's liberation,19. Freedom to Live (Concrete),Details not available,Unknown,Unknown,['19. Freedom to Live (Concrete)'],Details not available,Unknown,Unknown
"Anadwo no, Akwasi soree mpen nkron; Ananse soso koo Aso nkyen mpen nkron.","That night, Akwasi rose up nine times; Ananse also went to Aso nine times.",Act III: The Marriage,Scene 1: Aso's liberation,19. Freedom to Live (Concrete),Details not available,Unknown,Unknown,['19. Freedom to Live (Concrete)'],Details not available,Unknown,Unknown
"Adeekyeye anopa, Ananse siim’ koye.","Early the next morning, Ananse got up and left.",Act III: The Marriage,Scene 1: Aso's liberation,19. Freedom to Live (Concrete),Details not available,Unknown,Unknown,['19. Freedom to Live (Concrete)'],Details not available,Unknown,Unknown
Ebeye asrammienu na Aso afu’ aye kakraka.,"After about two moons, Aso’s belly had grown quite large.",Act III: The Marriage,Scene 1: Aso's liberation,19. Freedom to Live (Concrete),Details not available,Unknown,Unknown,['19. Freedom to Live (Concrete)'],Details not available,Unknown,Unknown
"Akwasi bisaa no se, “Aden na w’afu’ aye se yie, dabere wo yare, na me a me ne wo te ho, me nnwo ‘ba.”","Akwasi asked her, “Why has your belly grown so big—are you sick? For I, who live with you, have not had a child.”",Act III: The Marriage,Scene 1: Aso's liberation,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Aso see, “Wo were afi obarima no a obaa ha no a wo kaa se, ‘Sore‐ko‐di‐Aso’ no, na eye a obefaa me na one me nyem.”","Aso said, “You’ve forgotten that man who came here, whom you named ‘Rise‐up‐and‐make‐love‐to‐Aso’? He took me and lay with me.”",Act III: The Marriage,Scene 1: Aso's liberation,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Akwasi Ninkunfuo see, “Sore ma me mfa wo nko ma no.”","Akwasi‐the‐jealous‐one said, “Then get up; let me take you to him.”",Act III: The Marriage,Scene 1: Aso's liberation,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
Ye’koo Nyankonpon kurom’.,They set out for the Sky‐god’s town.,Act III: The Marriage,Scene 1: Aso's liberation,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
Na okwanm’ Aso ko woye.,"On the way, Aso gave birth.",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Ye’duruu Nyame kurom’ ko boo Nyame amanee se, “W’akoa bi a wo somaa no a obedaa me ‘fie, na wafa Aso ne no anyem.”","They reached the Sky‐god’s place and told the Sky‐god, “A subject of yours who came and stayed in my house took Aso, and she conceived by him.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Nyankonpon see, “Me nkoa no nnyina e’bua ‘dan, na ko kyere ‘nipa koro.”","The Sky‐god said, “All my servants are roofing huts. Go point out the one you mean.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Ye’koreye, na Ananse te etire.","They went, and Ananse was sitting on a ridge pole.",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Aso see, “O’nie.”","Aso said, “There he is.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
Na Ananse adwane abetena mfin‐mfini.,Then Ananse ran and sat in the middle.,Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Na Aso akyere se, “O’nie.”","Again Aso said, “There he is.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
Efei dee Ananse firi soro ho befwee fam’.,Then Ananse fell down from up there.,Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Eda no so, eye Fiada.",That day was Friday.,Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Ananse see, “Me dware ‘kra na wo de wo nsa akyere me so, na mafwe ase ama ntwuma ayeye me ho.”","Ananse said, “I, who wash the Sky‐god’s soul—you have pointed your hand at me such that I’ve fallen down and gotten red earth on me.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Seisei na nhenkwa ayere Akwasi Ninkunfuo, na watwa ‘dwan.","Immediately, the attendants seized Akwasi‐the‐jealous‐one and made him sacrifice a sheep.",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"Akwasi Ninkunfuo twaa ‘dwan no wieye, oka kyeree Nyame se, “Oba yi nie, Ananse mfa no.”","When Akwasi finished slaughtering the sheep, he said to the Sky‐god, “Here is the woman, let Ananse take her.”",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Ananse faa Aso, na akoda no dee ye’kum no twitwaa ne nam to peye.","Ananse took Aso, and as for the infant, they killed it, cut it up, and scattered the meat about.",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
Ene se ninkuno ebeba manm’.,That is how jealousy came among the tribe.,Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
"M’anansesem a metooye yi, se eye de o, se ennye de o, momfa bi nko, na momfa bi mmera.","This my story, which I have told, if it be sweet or if it be not sweet, take some of it as truth, and the rest you may praise me for.",Act III: The Marriage,Scene 2: Ananse and Aso's marriage,20. Freedom to Live (Abstract),Details not available,Unknown,Unknown,['20. Freedom to Live (Abstract)'],Details not available,Unknown,Unknown
